,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249
count,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
mean,309.0036248372309,309.0036248372309,309.0036248372309,226.96539460122094,226.96539460122094,226.96539460122094,226.96537852023175,226.96537852023175,226.96537852023175,226.96539460122094,226.96539460122094,226.96539460122094,226.96539460122094,226.96539460122094,226.96539460122094,226.96539460122094,226.96539460122094,226.96539460122094,226.96539460122094,226.96537852023175,226.96539460122094,226.96539460122094,226.96539460122094,114.71295152358891,114.71295152358891,114.71295152358891,114.71295152358891,114.71295152358891,114.71295152358891,114.71295152358891,114.71295152358891,114.71295152358891,114.71295152358891,114.71295152358891,114.71295152358891,114.71295152358891,114.71295152358891,114.71295152358891,114.71295152358891,114.71295152358891,114.71295152358891,114.71295152358891,114.71295152358891,114.71295152358891,114.71295152358891,114.71295152358891,114.71295152358891,114.71295152358891,114.71295152358891,114.71295152358891,114.71295152358891,114.71295152358891,114.71295152358891,114.71295152358891,114.71295152358891,114.71295152358891,114.71295152358891,433.4964861839474,433.4964861839474,433.4964861839474,433.4964861839474,433.4964861839474,433.4964861839474,433.4964861839474,433.4964861839474,433.4964861839474,433.4964861839474,277.2479020684841,277.2479020684841,277.2479020684841,348.0925641997027,348.0925641997027,348.0925641997027,348.0925641997027,348.0925641997027,348.0925641997027,348.0925641997027,348.0925641997027,348.0925641997027,225.29771375499288,225.29771375499288,225.29771375499288,225.2977275669147,225.2977275669147,263.2009764960777,263.2009764960777,263.2009764960777,263.2009764960777,263.2009764960777,403.9438895583792,403.9438895583792,403.9438895583792,148.96739184038327,374.15840266637144,374.15840266637144,374.15840266637144,374.15840266637144,374.15840266637144,374.15840266637144,374.15840266637144,374.15840266637144,374.15840266637144,374.15840266637144,374.15840266637144,374.15840266637144,374.15840266637144,374.15840266637144,374.15840266637144,129.01561413391096,129.01561413391096,129.01561413391096,129.01561413391096,129.01561413391096,129.01561413391096,129.01561413391096,129.01561413391096,129.01561413391096,355.05655889602485,355.05655889602485,355.05655889602485,228.1379537021425,228.1379537021425,228.1379537021425,248.1458879591569,206.3104417221383,206.3104417221383,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.20038814596438,114.31079846072078,114.31079846072078,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.41941117371789,114.70393532470648,114.70393532470648,114.70393532470648,114.70393532470648,114.70393532470648,114.70393532470648,114.70393532470648,114.70393532470648,114.70393532470648,114.70393532470648,114.70393532470648,114.70393532470648,114.70393532470648,114.70394172664535,114.70394172664535,114.70393532470648,114.70393532470648,114.70393532470648,114.70394172664535,114.70394172664535,114.70394172664535,114.70394172664535,114.70394172664535,114.70394172664535,114.70394172664535,114.70394172664535,114.70394172664535,114.70394172664535,114.70394172664535,114.70394172664535,114.70394172664535,114.70394172664535,114.70394172664535,114.70394172664535,114.70394172664535,114.70394172664535,114.31391307084192,114.31391307084192,114.31391307084192,114.31391307084192,114.31391307084192
std,73.32206813313186,73.32206813313186,73.32206813313186,116.66965879690945,116.66965879690945,116.66965879690945,116.66964037844834,116.66964037844834,116.66964037844834,116.66965879690945,116.66965879690945,116.66965879690945,116.66965879690945,116.66965879690945,116.66965879690945,116.66965879690945,116.66965879690945,116.66965879690945,116.66965879690945,116.66964037844834,116.66965879690945,116.66965879690945,116.66965879690945,166.1366210216838,166.1366210216838,166.1366210216838,166.1366210216838,166.1366210216838,166.1366210216838,166.1366210216838,166.1366210216838,166.1366210216838,166.1366210216838,166.1366210216838,166.1366210216838,166.1366210216838,166.1366210216838,166.1366210216838,166.1366210216838,166.1366210216838,166.1366210216838,166.1366210216838,166.1366210216838,166.1366210216838,166.1366210216838,166.1366210216838,166.1366210216838,166.1366210216838,166.1366210216838,166.1366210216838,166.1366210216838,166.1366210216838,166.1366210216838,166.1366210216838,166.1366210216838,166.1366210216838,166.1366210216838,142.38929682283808,142.38929682283808,142.38929682283808,142.38929682283808,142.38929682283808,142.38929682283808,142.38929682283808,142.38929682283808,142.38929682283808,142.38929682283808,98.15582996020326,98.15582996020326,98.15582996020326,111.27582909539844,111.27582909539844,111.27582909539844,111.27582909539844,111.27582909539844,111.27582909539844,111.27582909539844,111.27582909539844,111.27582909539844,45.708293315091915,45.708293315091915,45.708293315091915,45.708290490561296,45.708290490561296,108.14500302585054,108.14500302585054,108.14500302585054,108.14500302585054,108.14500302585054,96.55133453382527,96.55133453382527,96.55133453382527,107.00495077946987,133.7725667414192,133.7725667414192,133.7725667414192,133.7725667414192,133.7725667414192,133.7725667414192,133.7725667414192,133.7725667414192,133.7725667414192,133.7725667414192,133.7725667414192,133.7725667414192,133.7725667414192,133.7725667414192,133.7725667414192,135.30899268822395,135.30899268822395,135.30899268822395,135.30899268822395,135.30899268822395,135.30899268822395,135.30899268822395,135.30899268822395,135.30899268822395,85.76166684067279,85.76166684067279,85.76166684067279,47.89970127392931,47.89970127392931,47.89970127392931,50.47533836807185,48.821213131000746,48.821213131000746,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.38184896432873,169.46547359330629,169.46547359330629,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.60525914932043,169.5573811618998,169.5573811618998,169.5573811618998,169.5573811618998,169.5573811618998,169.5573811618998,169.5573811618998,169.5573811618998,169.5573811618998,169.5573811618998,169.5573811618998,169.5573811618998,169.5573811618998,169.55739313840547,169.55739313840547,169.5573811618998,169.5573811618998,169.5573811618998,169.55739313840547,169.55739313840547,169.55739313840547,169.55739313840547,169.55739313840547,169.55739313840547,169.55739313840547,169.55739313840547,169.55739313840547,169.55739313840547,169.55739313840547,169.55739313840547,169.55739313840547,169.55739313840547,169.55739313840547,169.55739313840547,169.55739313840547,169.55739313840547,169.3670307128479,169.3670307128479,169.3670307128479,169.3670307128479,169.3670307128479
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,305.7811144166639,305.7811144166639,305.7811144166639,205.52919745510175,205.52919745510175,205.52919745510175,205.52918667471724,205.52918667471724,205.52918667471724,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52918667471724,205.52919745510175,205.52919745510175,205.52919745510175,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,463.6414885380813,463.6414885380813,463.6414885380813,463.6414885380813,463.6414885380813,463.6414885380813,463.6414885380813,463.6414885380813,463.6414885380813,463.6414885380813,279.86399505837664,279.86399505837664,279.86399505837664,385.937427631954,385.937427631954,385.937427631954,385.937427631954,385.937427631954,385.937427631954,385.937427631954,385.937427631954,385.937427631954,224.1268634060237,224.1268634060237,224.1268634060237,224.1268904373706,224.1268904373706,256.6156177771373,256.6156177771373,256.6156177771373,256.6156177771373,256.6156177771373,342.1017268164491,342.1017268164491,342.1017268164491,92.82184776473187,392.2550335844858,392.2550335844858,392.2550335844858,392.2550335844858,392.2550335844858,392.2550335844858,392.2550335844858,392.2550335844858,392.2550335844858,392.2550335844858,392.2550335844858,392.2550335844858,392.2550335844858,392.2550335844858,392.2550335844858,47.58390800723019,47.58390800723019,47.58390800723019,47.58390800723019,47.58390800723019,47.58390800723019,47.58390800723019,47.58390800723019,47.58390800723019,348.10062436655824,348.10062436655824,348.10062436655824,234.59783306412064,234.59783306412064,234.59783306412064,264.081796588165,199.1178304811703,199.1178304811703,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,1.045429659659706,0.8317100376100454,0.8317100376100454,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943908102254885,0.5943908102254885,0.5943908102254885,0.5943908102254885,0.5943908102254885,0.5943908102254885,0.5943908102254885,0.5943908102254885,0.5943908102254885,0.5943908102254885,0.5943908102254885,0.5943908102254885,0.5943908102254885,0.5943810537022733,0.5943810537022733,0.5943908102254885,0.5943908102254885,0.5943908102254885,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.5943810537022733,0.8998036511908571,0.8998036511908571,0.8998036511908571,0.8998036511908571,0.8998036511908571
50%,343.71765502842766,343.71765502842766,343.71765502842766,212.01855133638418,212.01855133638418,212.01855133638418,212.01854114597094,212.01854114597094,212.01854114597094,212.01855133638418,212.01855133638418,212.01855133638418,212.01855133638418,212.01855133638418,212.01855133638418,212.01855133638418,212.01855133638418,212.01855133638418,212.01855133638418,212.01854114597094,212.01855133638418,212.01855133638418,212.01855133638418,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,506.054827473833,506.054827473833,506.054827473833,506.054827473833,506.054827473833,506.054827473833,506.054827473833,506.054827473833,506.054827473833,506.054827473833,285.93051654077357,285.93051654077357,285.93051654077357,388.0301323143195,388.0301323143195,388.0301323143195,388.0301323143195,388.0301323143195,388.0301323143195,388.0301323143195,388.0301323143195,388.0301323143195,227.96688682669574,227.96688682669574,227.96688682669574,227.96691445478808,227.96691445478808,262.457760905029,262.457760905029,262.457760905029,262.457760905029,262.457760905029,457.3000266687948,457.3000266687948,457.3000266687948,93.70870640024762,435.3009463834919,435.3009463834919,435.3009463834919,435.3009463834919,435.3009463834919,435.3009463834919,435.3009463834919,435.3009463834919,435.3009463834919,435.3009463834919,435.3009463834919,435.3009463834919,435.3009463834919,435.3009463834919,435.3009463834919,48.19709528132416,48.19709528132416,48.19709528132416,48.19709528132416,48.19709528132416,48.19709528132416,48.19709528132416,48.19709528132416,48.19709528132416,397.51799662437446,397.51799662437446,397.51799662437446,240.3348780677562,240.3348780677562,240.3348780677562,269.892703583896,204.72878277058365,204.72878277058365,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.280555664370275,6.953287249431476,6.953287249431476,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.277769723810729,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.797378322504588,7.797378322504588,7.7973697302400335,7.7973697302400335,7.7973697302400335,7.797378322504588,7.797378322504588,7.797378322504588,7.797378322504588,7.797378322504588,7.797378322504588,7.797378322504588,7.797378322504588,7.797378322504588,7.797378322504588,7.797378322504588,7.797378322504588,7.797378322504588,7.797378322504588,7.797378322504588,7.797378322504588,7.797378322504588,7.797378322504588,6.9131054811399215,6.9131054811399215,6.9131054811399215,6.9131054811399215,6.9131054811399215
75%,350.34338319962524,350.34338319962524,350.34338319962524,212.78896570366805,212.78896570366805,212.78896570366805,212.78895562650686,212.78895562650686,212.78895562650686,212.78896570366805,212.78896570366805,212.78896570366805,212.78896570366805,212.78896570366805,212.78896570366805,212.78896570366805,212.78896570366805,212.78896570366805,212.78896570366805,212.78895562650686,212.78896570366805,212.78896570366805,212.78896570366805,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,205.52919745510175,510.85320958238503,510.85320958238503,510.85320958238503,510.85320958238503,510.85320958238503,510.85320958238503,510.85320958238503,510.85320958238503,510.85320958238503,510.85320958238503,287.5388258177464,287.5388258177464,287.5388258177464,388.1526022556421,388.1526022556421,388.1526022556421,388.1526022556421,388.1526022556421,388.1526022556421,388.1526022556421,388.1526022556421,388.1526022556421,228.3776996920809,228.3776996920809,228.3776996920809,228.37772750487773,228.37772750487773,264.0846154524569,264.0846154524569,264.0846154524569,264.0846154524569,264.0846154524569,464.23392238582073,464.23392238582073,464.23392238582073,151.0487949201683,435.5113801500979,435.5113801500979,435.5113801500979,435.5113801500979,435.5113801500979,435.5113801500979,435.5113801500979,435.5113801500979,435.5113801500979,435.5113801500979,435.5113801500979,435.5113801500979,435.5113801500979,435.5113801500979,435.5113801500979,193.14464076553898,193.14464076553898,193.14464076553898,193.14464076553898,193.14464076553898,193.14464076553898,193.14464076553898,193.14464076553898,193.14464076553898,404.5966026701085,404.5966026701085,404.5966026701085,241.43575116383576,241.43575116383576,241.43575116383576,271.02752245996146,205.77487113101904,205.77487113101904,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.1613731322258,211.9740478282347,211.9740478282347,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.19896698826904,212.78896570366805,212.78896570366805,212.78896570366805,212.78896570366805,212.78896570366805,212.78896570366805,212.78896570366805,212.78896570366805,212.78896570366805,212.78896570366805,212.78896570366805,212.78896570366805,212.78896570366805,212.7889604636647,212.7889604636647,212.78896570366805,212.78896570366805,212.78896570366805,212.7889604636647,212.7889604636647,212.7889604636647,212.7889604636647,212.7889604636647,212.7889604636647,212.7889604636647,212.7889604636647,212.7889604636647,212.7889604636647,212.7889604636647,212.7889604636647,212.7889604636647,212.7889604636647,212.7889604636647,212.7889604636647,212.7889604636647,212.7889604636647,212.01855133638418,212.01855133638418,212.01855133638418,212.01855133638418,212.01855133638418
